shard	bytes	device
out-00000.safetensors	2675062104	keep
out-00001.safetensors	2686078088	stripe
out-00002.safetensors	2686892744	600p
out-00003.safetensors	2686078024	keep
out-00004.safetensors	2693176336	stripe
out-00005.safetensors	2686077896	keep
out-00006.safetensors	2693192880	600p
out-00007.safetensors	2686077752	stripe
out-00008.safetensors	2693193016	keep
out-00009.safetensors	2686077616	stripe
out-00010.safetensors	2686876984	keep
out-00011.safetensors	2693192448	600p
out-00012.safetensors	2686078080	stripe
out-00013.safetensors	2693176192	keep
out-00014.safetensors	2686078072	stripe
out-00015.safetensors	2693192688	keep
out-00016.safetensors	2686077936	600p
out-00017.safetensors	2686876544	stripe
out-00018.safetensors	2686077808	keep
out-00019.safetensors	2687572224	stripe
out-00020.safetensors	2686077728	keep
out-00021.safetensors	2693193056	600p
out-00022.safetensors	2689008008	stripe
out-00023.safetensors	2683946216	keep
out-00024.safetensors	2686892600	keep
out-00025.safetensors	2686078080	stripe
out-00026.safetensors	2693176224	600p
out-00027.safetensors	2686078040	keep
out-00028.safetensors	2693192728	stripe
out-00029.safetensors	2686077896	keep
out-00030.safetensors	2693192856	600p
out-00031.safetensors	2686077760	stripe
out-00032.safetensors	2686876728	keep
out-00033.safetensors	2686077624	stripe
out-00034.safetensors	2693193240	keep
out-00035.safetensors	2693176056	600p
out-00036.safetensors	2686078088	stripe
out-00037.safetensors	2693192376	keep
out-00038.safetensors	2686077216	stripe
out-00039.safetensors	2693192176	keep
out-00040.safetensors	2686077936	600p
out-00041.safetensors	2686876536	stripe
out-00042.safetensors	2686077808	keep
out-00043.safetensors	2693192960	stripe
out-00044.safetensors	2686077664	keep
out-00045.safetensors	2693176768	600p
out-00046.safetensors	2693192416	keep
out-00047.safetensors	2686078080	stripe
out-00048.safetensors	2686876264	keep
out-00049.safetensors	2686078088	stripe
out-00050.safetensors	2693192664	600p
out-00051.safetensors	2686077976	keep
out-00052.safetensors	2693192776	stripe
out-00053.safetensors	2686077832	keep
out-00054.safetensors	2693176536	stripe
out-00055.safetensors	2686077712	600p
out-00056.safetensors	2686893208	keep
out-00057.safetensors	2688924512	stripe
out-00058.safetensors	2684028840	keep
out-00059.safetensors	2693191784	600p
out-00060.safetensors	2686078080	stripe
out-00061.safetensors	2693176248	keep
out-00062.safetensors	2686078024	stripe
out-00063.safetensors	2693192744	keep
out-00064.safetensors	2686077880	600p
out-00065.safetensors	2686876608	stripe
out-00066.safetensors	2686077752	keep
out-00067.safetensors	2693193032	stripe
out-00068.safetensors	2686077608	keep
out-00069.safetensors	2693193272	600p
out-00070.safetensors	2693176064	keep
out-00071.safetensors	2686078096	stripe
out-00072.safetensors	2686892712	keep
out-00073.safetensors	2686078056	stripe
out-00074.safetensors	2693176304	600p
out-00075.safetensors	2686077928	keep
out-00076.safetensors	2693192840	stripe
out-00077.safetensors	2686077784	keep
out-00078.safetensors	2693192352	stripe
out-00079.safetensors	2686076792	600p
out-00080.safetensors	2693176744	keep
out-00081.safetensors	2686892544	stripe
out-00082.safetensors	2686078080	keep
out-00083.safetensors	2693176168	600p
out-00084.safetensors	2686078088	stripe
out-00085.safetensors	2693192680	keep
out-00086.safetensors	2686077960	stripe
out-00087.safetensors	2693192792	keep
out-00088.safetensors	2686077816	600p
out-00089.safetensors	2686876672	stripe
out-00090.safetensors	2686077688	keep
out-00091.safetensors	2693193120	keep
out-00092.safetensors	2693175992	stripe
out-00093.safetensors	2686078088	600p
out-00094.safetensors	2693192520	keep
out-00095.safetensors	2686078088	stripe
out-00096.safetensors	2686876368	keep
out-00097.safetensors	2686078008	stripe
out-00098.safetensors	2693192336	600p
out-00099.safetensors	2686077016	keep
out-00100.safetensors	2686876336	stripe
out-00101.safetensors	2686077736	keep
out-00102.safetensors	2693193040	stripe
out-00103.safetensors	2692370328	600p
out-00104.safetensors	2686900160	keep
out-00105.safetensors	2686876200	stripe
out-00106.safetensors	2686078080	keep
out-00107.safetensors	2693192608	stripe
out-00108.safetensors	2686078032	600p
out-00109.safetensors	2693176320	keep
out-00110.safetensors	2686077904	stripe
out-00111.safetensors	2693192856	keep
out-00112.safetensors	2686077768	600p
out-00113.safetensors	2686876728	keep
out-00114.safetensors	2686077640	stripe
out-00115.safetensors	2693193240	keep
out-00116.safetensors	2693192440	stripe
out-00117.safetensors	2686078080	600p
out-00118.safetensors	2693175984	keep
out-00119.safetensors	2686077232	stripe
out-00120.safetensors	2693192184	keep
out-00121.safetensors	2686077936	stripe
out-00122.safetensors	2686876536	600p
out-00123.safetensors	2686077808	keep
out-00124.safetensors	2693192968	stripe
out-00125.safetensors	2686077672	keep
out-00126.safetensors	2693193152	stripe
out-00127.safetensors	2693176008	600p
out-00128.safetensors	2686078088	keep
out-00129.safetensors	2686892656	stripe
out-00130.safetensors	2686078080	keep
out-00131.safetensors	2693176264	stripe
out-00132.safetensors	2686077984	keep
out-00133.safetensors	2693192776	600p
out-00134.safetensors	2686077840	keep
out-00135.safetensors	889827288	stripe
out-00136.safetensors	16	stripe
out-00137.safetensors	2150152872	stripe
out-00138.safetensors	2686076760	keep
out-00139.safetensors	2693192472	600p
out-00140.safetensors	2371602456	stripe
out-mtp-00000.safetensors	3527131672	keep
out-mtp-00001.safetensors	5366238584	stripe
out-mtp-00002.safetensors	1065950496	600p
